,Treatment_i,Treatment_j,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,isSignificant_NewEplsar,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.002432346136479642,-0.0013170733280549087,True,-0.002496652057304291,-0.0011668060811836608,True,-0.0023935118864583647,-0.001071683784339617,True
1,Dry lucerne,Dry bamboo,-0.0017436124089838868,-0.00096742613891215,True,-0.0019957288710999916,-0.0010018316339667256,True,-0.002079315398320355,-0.0011021213971072028,True
2,Dry lucerne,Dry grass,-5.258259792401577e-06,0.0010624365365620562,False,-0.0002977336920835427,0.0009938941610230971,False,-0.0005781659624496514,0.0007141276319153836,False
3,BrushNoDirt,BrushDirt,-9.604397526339833e-05,0.0014240959892445643,False,-0.0007165914402773789,0.0012616721299614129,False,-0.0011533742893042095,0.0006724703726370413,False
4,Control,BrushDirt,0.00035952841498843697,0.0018535552877984758,True,-0.0005635332872239463,0.0012969125029278549,False,-0.0005857110020520533,0.0013891430710323122,False
5,Control,BrushNoDirt,-0.0002615767012067498,0.0012562878112237046,False,-0.0009369335795838636,0.000989026403051367,False,-0.0002534208256304138,0.0015593552736144006,False
6,RubDirt,BrushDirt,-0.0005876836955965914,0.0008824537147300309,False,-0.0004685731633849764,0.0016154844819423822,False,-0.001040009333033081,0.0009563333183848019,False
7,RubDirt,BrushNoDirt,-0.0011864179170214082,0.00024571813043350863,False,-0.0008110499056216523,0.0013315678381364373,False,-0.0007218804537868862,0.001077135488365199,False
8,RubDirt,Control,-0.001777000828706334,-0.00025072449116190067,True,-0.0007039127833267232,0.001331910297326019,False,-0.0014427600115053567,0.00046631677684168884,False
9,Clover+dust,Clover,-0.0009994783139080068,0.00020985292030959623,False,-0.0006580683248329502,0.0008650077319163728,False,-0.0005351129726686322,0.0009689005162306896,False
10,Grass,Clover,-0.0007453861210355696,0.0005902956538322308,False,-0.00010899399719302011,0.0015438918522958504,False,0.0002322414637625792,0.0020111061795269045,True
11,Grass,Clover+dust,-0.00030372016899951284,0.0009857588372943007,False,-0.00018095090340934463,0.0015401484980271244,False,3.2330685444513564e-05,0.001811945979190526,True
12,Grass+dust,Clover,-0.0011155466326236473,0.00014909408063570537,False,0.00012702819068278166,0.0017519087841354026,True,0.0003148190056604764,0.0019396161982585978,True
13,Grass+dust,Clover+dust,-0.0006692419449299301,0.0005210908291989522,False,1.3919600571567116e-05,0.0016731870776507387,True,0.00012163343470724568,0.0017227149977995376,True
14,Grass+dust,Grass,-0.001049364065845515,0.0002371425226204623,False,-0.0007697050920982172,0.0010229376893322105,False,-0.0008968544004023234,0.0009374867869097182,False
